,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
88,5.0,5.0,5.0,4.0,5.0,6.0,0.504294341667065,0.4280478671701961,0.0676577911627388,E:6N,5N,1.1781260469791164,7.453603391427227,3.9068905956085187
89,5.0,4.0,5.0,7.0,5.0,6.0,0.4201996384500511,0.5067358327438497,0.0730645288060991,E:6N,5N,0.829228192083385,5.751075731497426,3.9068905956085187
90,7.0,6.0,4.0,6.0,4.0,7.0,0.5093822517404177,0.4251820436904857,0.0654357045690965,E:6N,5N,1.1980333113766821,7.784469581167849,3.9068905956085187
91,5.0,5.0,4.0,6.0,6.0,4.0,0.5168434639983696,0.442947678989101,0.0402088570125294,E:6N,5N,1.1668273444347066,12.853970552739586,3.9068905956085187
92,6.0,5.0,5.0,4.0,5.0,4.0,0.460894197784564,0.4241749424854474,0.1149308597299886,E:6N,5N,1.086566299942096,4.010186636272974,4.0
93,3.0,6.0,5.0,6.0,5.0,5.0,0.4875933352897062,0.453764387492256,0.0586422772180377,E:6N,5N,1.0745517910394138,8.31470670002781,3.700439718141092
94,6.0,6.0,6.0,6.0,4.0,6.0,0.587562603482142,0.387190324869651,0.0252470716482069,E:6N,5N,1.5175033200531212,23.272505091649784,4.0
95,5.0,6.0,4.0,6.0,6.0,5.0,0.5131339847206233,0.424321418717712,0.0625445965616645,E:6N,5N,1.2093049327354262,8.204289625798607,3.9068905956085187
96,5.0,7.0,4.0,4.0,4.0,6.0,0.4353878040798516,0.4462964983091524,0.1183156976109959,E:6N,5N,0.9755572937035588,3.6798819841416206,3.700439718141092
97,4.0,6.0,4.0,4.0,4.0,5.0,0.5269047856596495,0.4247397652066912,0.0483554491336592,E:6N,5N,1.2405355674744551,10.896492434663012,3.584962500721156
98,6.0,6.0,5.0,6.0,6.0,4.0,0.4520528617786766,0.4818228848234021,0.0661242533979212,E:6N,5N,0.9382137628111276,6.8364153627311595,4.087462841250339
99,7.0,5.0,5.0,4.0,5.0,4.0,0.4719015170238557,0.4931445586037261,0.0349539243724181,E:6N,5N,0.9569232972173164,13.500673400673428,4.087462841250339
0,5.0,4.0,5.0,3.0,2.0,3.0,0.566679851016843,0.3994363690299614,0.0338837799531955,E:2N,10N,1.4186986838305073,16.7242217898833,3.584962500721156
1,2.0,3.0,2.0,3.0,2.0,4.0,0.6980929151702548,0.2803203441587125,0.0215867406710326,E:2N,10N,2.490339819128528,32.33896797153035,2.584962500721156
2,3.0,3.0,3.0,4.0,4.0,3.0,0.4682167089301624,0.472534439037763,0.0592488520320745,E:2N,10N,0.990862612857609,7.902544823597463,3.321928094887362
3,2.0,4.0,5.0,4.0,4.0,3.0,0.5753286443329872,0.3803939345197186,0.044277421147294,E:2N,10N,1.5124548320135314,12.993725231175715,3.4594316186372973
4,2.0,4.0,3.0,3.0,4.0,3.0,0.5690408031344406,0.3929527855098083,0.038006411355751,E:2N,10N,1.4481149494746033,14.97223186393617,3.169925001442312
5,5.0,3.0,4.0,3.0,2.0,4.0,0.6238727833928464,0.3507383647037463,0.0253888519034073,E:2N,10N,1.7787412104740952,24.572705601907103,3.4594316186372973
6,5.0,4.0,2.0,4.0,2.0,3.0,0.5536759024174853,0.3967463296169555,0.0495777679655591,E:2N,10N,1.3955413348172363,11.167826328973005,3.169925001442312
7,3.0,5.0,2.0,3.0,5.0,4.0,0.5656596035543404,0.3974572795625427,0.0368831168831168,E:2N,10N,1.4231959826649243,15.33654558932546,3.321928094887362
8,4.0,3.0,4.0,3.0,3.0,4.0,0.5446873882026136,0.4152865169721585,0.0400260948252278,E:2N,10N,1.3115942028985506,13.608307045215563,3.4594316186372973
9,2.0,3.0,2.0,3.0,4.0,4.0,0.6548986963566364,0.3200838374979561,0.0250174661454075,E:2N,10N,2.046022384247434,26.177658942364847,3.0
10,3.0,3.0,5.0,3.0,3.0,4.0,0.5613930644441137,0.4063269997188735,0.0322799358370127,E:2N,10N,1.3816287493386514,17.391393442623,3.4594316186372973
