,InA,InB,InC,ConPr,STD ConPr,CC AB,STD CC AB,CC BC,STD CC BC,CC AC,STD CC AC
58,4,2,3,0.557,0.044,-0.491,0.11,-0.469,0.13,-0.206,0.239
59,4,2,4,0.562,0.04,-0.452,0.079,-0.401,0.077,-0.314,0.057
60,4,2,5,0.548,0.026,-0.499,0.173,-0.434,0.143,-0.235,0.28
61,4,2,6,0.469,0.0,-0.526,0.0,-0.204,0.0,-0.408,0.0
62,4,2,7,0.519,0.0,-0.512,0.0,-0.591,0.0,-0.059,0.0
63,4,3,2,0.569,0.043,-0.295,0.253,-0.428,0.121,-0.428,0.15
64,4,3,3,0.519,0.032,-0.443,0.145,-0.42,0.2,-0.283,0.157
65,4,3,4,0.505,0.034,-0.4,0.164,-0.406,0.194,-0.269,0.183
66,4,3,5,0.526,0.043,-0.33,0.222,-0.427,0.168,-0.343,0.15
67,4,3,6,0.495,0.039,-0.341,0.18,-0.346,0.292,-0.349,0.216
68,4,3,7,0.526,0.0,-0.677,0.0,0.175,0.0,-0.642,0.0
69,4,4,2,0.576,0.05,-0.288,0.241,-0.447,0.127,-0.438,0.12
70,4,4,3,0.497,0.029,-0.403,0.145,-0.327,0.228,-0.338,0.188
71,4,4,4,0.498,0.043,-0.272,0.253,-0.335,0.226,-0.376,0.199
72,4,4,5,0.49,0.037,-0.443,0.186,-0.265,0.172,-0.326,0.199
73,4,4,6,0.49,0.032,-0.299,0.237,-0.374,0.245,-0.324,0.264
